ID,Products,Expiration Date,Amount,Locations,packaging
1,Eggs,April 8909,947,Illinois,Cyan
2,Grooming products,August 3422,470,New York,Purple
3,Candies,February 5276,753,Pennsylvania,Dark Red
4,Pasta,December 4863,686,New Jersey,Ultramarine
5,Salmon,February 1507,698,Alabama,Lavender
6,Meat,August 2096,360,North Carolina,Red
7,Detergents,July 9536,929,Alaska,coral
8,Dairy,July 7896,227,Montana,Lavender
9,Paper Goods,February 8994,892,Colorado,Brown
10,Paper Goods,July 9786,171,Colorado,Brown
11,Cosmetics,March 7155,404,Idaho,Cadet blue
12,Fish,June 9997,514,Illinois,Cyan
13,Flour,May 2015,46,Arizona,Sienna
14,Fish,January 0092,151,Iowa,Cerise
15,Poultry,April 1595,118,New Jersey,Red
16,Fruits,October 9131,196,New York,Pink
17,Bakery products,November 6171,487,Arkansas,Aquamarine
18,Salmon,November 7424,19,Washington,Azure
19,Candies,September 6910,128,Mississippi,coral
20,Seafood,October 2864,294,Indiana,Ultramarine
21,Seafood,July 4945,299,Kentucky,Gold
22,Medicines,March 4090,34,Florida,Maroon
23,Housewares,February 4758,125,New York,Capri
24,Sweets,August 5854,66,Connecticut,Azure
25,Fish,February 0662,564,Arkansas,Green
26,Ground turkey,February 6476,325,Michigan,Capri
27,Sweets,March 5193,281,Utah,Salmon
28,Canned Goods,April 4955,373,North Carolina,Brown
29,Pasta,June 6748,197,Virginia,Ultramarine
30,Flowers,June 8698,241,California,coral
31,Cereals,July 0082,102,Minnesota,Cyan
32,House-cleaning products,April 7406,598,Montana,Sky blue
33,Paper Goods,August 2796,670,Idaho,Lime
34,Dry Goods,June 2204,974,Michigan,Olive
35,Brown rice,August 3689,857,Arizona,Sienna
36,Alcoholic beverages,September 1308,685,Vermont,Mauve
37,Dry Goods,April 5882,520,Delaware,Cerise
38,Dishware,September 9253,977,Hawaii,Rust
39,Baby food,January 5007,782,Texas,Mauve
40,Frozen foods,January 6073,418,New Jersey,Sky blue
41,Sweets,October 7538,1,Vermont,Ruby
42,Grooming products,October 0850,770,South Carolina,Amethyst
43,Olive oil,August 1557,66,Colorado,coral
44,Sweets,June 8027,295,Kentucky,Brown
45,Eggs,January 2872,417,New York,Turquoise
46,Tea,June 4031,851,Mississippi,Orange
47,Coffee,July 5138,258,Minnesota,Auburn
48,Tea,October 3717,641,Illinois,Auburn
49,Pasta,October 3628,909,Florida,Mauve
50,Decorations,December 7966,582,Arkansas,Beige
51,Frozen foods,January 3278,239,Idaho,Fuchsia
52,Detergents,January 9482,915,Kentucky,Aquamarine
53,Canned Goods,February 5488,104,California,Fuchsia
54,Grooming products,August 0499,61,Ohio,Apricot
55,Dry Goods,December 7077,464,Iowa,Pink
56,Bottled waters,March 6874,726,Oregon,Auburn
57,Medicines,October 8699,47,Louisiana,Purple
58,Baby food,January 8781,926,Oregon,Ultramarine
59,Ground turkey,August 1669,617,New Jersey,White
60,Dry Goods,May 5805,26,Maryland,Blue
61,Canned Goods,October 0763,757,Colorado,Orange
62,Nonalcoholic beverages,April 6855,870,South Carolina,Rust
63,Diet foods,January 4289,22,Vermont,Aquamarine
64,Olive oil,August 4883,296,Delaware,Azure
65,Tea,January 5471,991,Arkansas,Rosewood
66,Seafood,November 2235,781,Massachussets,Salmon
67,Personal Care,February 3883,719,Oregon,Beige
68,Decorations,December 1392,345,Indiana,Lime
